#,Summary,Status,Assignee,Pri,Notes,Area,Area Notes,Effort,Weeks,,
Support Lockbox on Desktop (P1),,,,,,,,,,,
1147563,Provide autocomplete experience when formSubmitURL does not match,REVIEWED,jaws,P2,Depends on 1294194,,,,,,
589628,Password manager should support subdomains with the same password,NEW,,P2,Depends on 1294194,,,,,,
1530814,Identify popular sites that munge usernames/passwords and create a plan to not save munged values,ASSIGNED,sfoster,P2,,Reduced number of munged usernames/passwords saved,Finite number of munged character patterns,,3,,
1427624,Avoid saving a munged username,ASSIGNED,sfoster,P2,depends on above,,,,,,
1532377,Avoid saving a munged password in login storage,NEW,,P2,depends on 1530814,,,,,,
1388674,Only prompt to save logins if a login field was modified,IN REVIEW,prathiksha,P3,,Reduced number of prompts to save when a user isn’t submitting a login/registration/change form,Mostly affects formless heuristics. @autocomplete: cc-csc/cc-number/one-time-code. Look at field label/name/id (use Form Autofill code),Some potentially easy wins,2,,
1529946,Don't repeatedly prompt to save the same username and password combination in the same document,RESOLVED,prathiksha,P2,,,,,2,,
1535222,"Intermittent 415 INFO TEST-UNEXPECTED-FAIL |  | /tests/toolkit/components/passwordmgr/test/mochitest/test_one_doorhanger_per_un_pw.html - finished in a non-clean fashion, probably because it didn't call SimpleTest.finish()",RESOLVED,prathiksha,P2,follow-up bug,,,,0,,
1185000,Password manager should never offer to save credit card numbers (as the password?),ASSIGNED,prathiksha,P2,,,,,2,,
1352544,Gather data on support for filling login fields/forms with autocomplete=off in other browsers,RESOLVED,sfoster,P2,,Reduced number of times we autofill in fields expecting new passwords (e.g. registration),Finite clear options: @autocomplete and field label/id/name,Easy wins with @autocomplete,2,,
917325,Password manager shouldn't autofill into username fields with inappropriate @autocomplete values,RESOLVED,sfoster,P2,,,,,1,,
1119063,"Don't autofill in password fields with an autocomplete field name of ""new-password""",RESOLVED,sfoster,P2,,,,,2,,
1531135,"Add a pref to not autofill in password fields with an autocomplete field name of ""off""",RESOLVED,sfoster,P2,,,,,2,,
,,,,,,P1 Total weeks per dev.:,13.00,P1 Total Weeks:,39.00,P1 RESO weeks,22.50
,,,,,,Weeks until end of H1,18.00,P1 CLOSED Weeks,23.50,P1 VERI weeks,1.00
,,,,,,Weeks of buffer (time for P2s),5.00,27.78%,60.26%,Complete P1,
Improve Reliability (P2),,,,,,,,,,,
1247248,Firefox should not autofill passwords in long or complex forms,UNCONFIRMED,,--,Need to define heuristics,P2 - Improved detection of whether a field is a username or password field,A never-ending battle,,2,,
1119067,"Use a field with the ""username"" autocomplete field name to short-circuit username field detection",NEW,,P2,,,,,2,,
1531164,autocomplete=username field should get username autocompletions when there is no password field,NEW,,P2,,,,,2,,
1194353,"Context menu in autocomplete=username field without password field present should show ""Fill Username"" menu.",NEW,,P2,,,,,2,,
,TBD depending on time,NEW,,P2,,,,,,,
1536269,Handle masked pre-filled username values when attempting to autofill login forms,NEW,,P2,,,,,,,
,,,,,,,,,,,
"Legend: The ""yellow"" background means this value was imported from Bugzilla ",,,,,,,,,,,
